ID_Venta,Fecha_Venta,Codigo_Producto,Cantidad,Precio_Unitario,CUIT_Cliente
1,01/06/2018,MOUSE_GEN,7,4725.49,20-33263109-4
2,07/12/2017,HD_WESTERN,1,6769.23,20-33853109-5
3,21/01/2018,MONITOR_LG,7,4100.64,20-33853109-5
4,30/06/2018,MOUSE_GEN,8,9680.68,20-33853109-5
5,26/12/2017,HD_WESTERN,9,11444.06,20-15343109-5
6,14/10/2018,MOUSE_GEN,2,6522.66,20-33263109-4
7,16/03/2018,HD_WESTERN,3,10931.14,21-28243308-5
8,20/07/2018,DVD_REC,3,5059.76,20-33853109-5
9,31/05/2018,KEYBRD_485,2,6965.37,20-33853109-5
10,29/04/2018,DVD_REC,8,7316.59,20-15343109-5
11,26/08/2018,MONITOR_LG,4,9098.05,20-15343109-5
12,07/01/2018,KEYBRD_485,4,1455.93,21-28243308-5
13,27/02/2018,KEYBRD_485,4,2706.61,20-15343109-5
14,08/04/2018,KEYBRD_485,2,4466.41,20-33853109-5
15,02/07/2018,HD_WESTERN,8,6403.13,20-33853109-5
16,15/05/2018,MOUSE_GEN,1,9135.53,20-33853109-5
17,20/12/2017,DVD_REC,3,8404.42,20-33263109-4
18,14/08/2018,MOUSE_GEN,2,8030.11,20-33853109-5
19,21/02/2018,HD_WESTERN,10,11726.4,21-28243308-5
20,17/10/2018,DVD_REC,8,9261.13,20-33263109-4
21,01/01/2018,DVD_REC,10,11890.47,20-33853109-5
22,14/11/2018,LCD_TV,9,8547.48,20-33853109-5
23,17/07/2018,MONITOR_LG,4,6410.54,20-33853109-5
24,11/07/2018,KEYBRD_485,10,6074.72,20-33853109-5
25,20/07/2018,DVD_REC,2,7372.58,21-28243308-5
26,21/07/2018,HD_WESTERN,4,3416.01,20-33263109-4
27,08/12/2017,LCD_TV,9,3868.25,20-33263109-4
28,02/09/2018,DVD_REC,5,5198.04,21-28243308-5
29,11/10/2018,DVD_REC,1,10802.91,20-33853109-5
30,19/12/2017,HD_WESTERN,6,11004.34,20-33853109-5
31,16/02/2018,LCD_TV,1,5228.46,20-33263109-4
32,17/08/2018,MOUSE_GEN,5,10150.92,21-28243308-5
33,04/02/2018,DVD_REC,5,6889.78,20-15343109-5
34,01/09/2018,KEYBRD_485,9,7219.89,20-33853109-5
35,20/10/2018,MONITOR_LG,6,1156.26,20-33853109-5
36,23/07/2018,HD_WESTERN,10,9830.24,20-15343109-5
37,13/05/2018,HD_WESTERN,8,9855.4,21-28243308-5
38,08/04/2018,DVD_REC,7,10352.57,20-15343109-5
39,20/10/2018,KEYBRD_485,8,3223.73,20-15343109-5
40,13/02/2018,KEYBRD_485,7,3279.14,20-33263109-4
41,29/12/2017,KEYBRD_485,8,5882.52,20-33263109-4
42,11/04/2018,LCD_TV,2,1386.13,21-28243308-5
43,21/02/2018,KEYBRD_485,8,2777.57,20-33853109-5
44,20/05/2018,HD_WESTERN,10,11558.28,20-33853109-5
45,19/12/2017,KEYBRD_485,8,11391.77,21-28243308-5
46,09/12/2017,MOUSE_GEN,10,3391.28,21-28243308-5
47,27/04/2018,MOUSE_GEN,8,4673.63,20-33853109-5
48,26/02/2018,LCD_TV,10,1169.27,21-28243308-5
49,31/01/2018,MOUSE_GEN,3,9636.83,20-15343109-5
50,18/10/2018,DVD_REC,9,8044.87,21-28243308-5
